L,nm
-11.6555767259688,1.000199999999999977973175191436894237995147705078125
-11.6455741706773,1.00030000000000
-11.6355818960711,1.00040000000000
-11.6255998759911,1.00050000000000
-11.6156280843835,1.00060000000000
-11.6056664953012,1.00070000000000
-11.5957150828993,1.00080000000000
-11.5857738214390,1.00090000000000
-11.5758426852846,1.00100000000000
-11.5659216489033,1.00110000000000
-11.5560106868642,1.00120000000000
-11.5461097738398,1.00130000000000
-11.5362188846015,1.00140000000000
-11.5263379940234,1.00150000000000
-11.5164670770790,1.00160000000000
-11.5066061088412,1.00170000000000
-11.4967550644821,1.00180000000000
-11.4869139192733,1.00190000000000
-11.4770826485828,1.00200000000000
-11.4672612278769,1.00210000000000
-11.4574496327185,1.00220000000000
-11.4476478387672,1.00230000000000
-11.4378558217785,1.00240000000000
-11.4280735576030,1.00250000000000
-11.4183010221863,1.00260000000000
-11.4085381915681,1.00270000000000
-11.3987850418818,1.00280000000000
-11.3890415493545,1.00290000000000
-11.3793076903058,1.00300000000000
-11.3695834411476,1.00310000000000
-11.3598687783837,1.00320000000000
-11.3501636786096,1.00330000000000
-11.3404681185105,1.00340000000000
-11.3307820748629,1.00350000000000
-11.3211055245329,1.00360000000000
-11.3114384444761,1.00370000000000
-11.3017808117360,1.00380000000000
-11.2921326034462,1.00390000000000
-11.2824937968267,1.00400000000000
-11.2728643691863,1.00410000000000
-11.2632442979198,1.00420000000000
-11.2536335605090,1.00430000000000
-11.2440321345214,1.00440000000000
-11.2344399976104,1.00450000000000
-11.2248571275155,1.00460000000000
-11.2152835020592,1.00470000000000
-11.2057190991492,1.00480000000000
-11.1961638967777,1.00490000000000
-11.1866178730191,1.00500000000000
-11.1770810060312,1.00510000000000
-11.1675532740550,1.00520000000000
-11.1580346554131,1.00530000000000
-11.1485251285095,1.00540000000000
-11.1390246718298,1.00550000000000
-11.1295332639407,1.00560000000000
-11.1200508834889,1.00570000000000
-11.1105775092006,1.00580000000000
-11.1011131198838,1.00590000000000
-11.0916576944225,1.00600000000000
-11.0822112117818,1.00610000000000
-11.0727736510052,1.00620000000000
-11.0633449912123,1.00630000000000
-11.0539252116017,1.00640000000000
-11.0445142914500,1.00650000000000
-11.0351122101076,1.00660000000000
-11.0257189470047,1.00670000000000
-11.0163344816456,1.00680000000000
-11.0069587936103,1.00690000000000
-10.9975918625543,1.00700000000000
-10.9882336682084,1.00710000000000
-10.9788841903771,1.00720000000000
-10.9695434089393,1.00730000000000
-10.9602113038473,1.00740000000000
-10.9508878551274,1.00750000000000
-10.9415730428786,1.00760000000000
-10.9322668472724,1.00770000000000
-10.9229692485521,1.00780000000000
-10.9136802270343,1.00790000000000
-10.9043997631052,1.00800000000000
-10.8951278372235,1.00810000000000
-10.8858644299180,1.00820000000000
-10.8766095217887,1.00830000000000
-10.8673630935051,1.00840000000000
-10.8581251258063,1.00850000000000
-10.8488955995014,1.00860000000000
-10.8396744954677,1.00870000000000
-10.8304617946523,1.00880000000000
-10.8212574780699,1.00890000000000
-10.8120615268037,1.00900000000000
-10.8028739220036,1.00910000000000
-10.7936946448889,1.00920000000000
-10.7845236767430,1.00930000000000
-10.7753609989191,1.00940000000000
-10.7662065928344,1.00950000000000
-10.7570604399730,1.00960000000000
-10.7479225218858,1.00970000000000
-10.7387928201868,1.00980000000000
-10.7296713165571,1.00990000000000
-10.7205579927416,1.01000000000000
-10.7114528305500,1.01010000000000
-10.7023558118558,1.01020000000000
-10.6932669185966,1.01030000000000
-10.6841861327734,1.01040000000000
