L,nm
-10.5095823864038,1.00000000000000
-10.5004210384853,1.00010000000000
-10.4912693282498,1.00020000000000
-10.4821272310932,1.00030000000000
-10.4729947225117,1.00040000000000
-10.4638717781004,1.00050000000000
-10.4547583735530,1.00060000000000
-10.4456544846619,1.00070000000000
-10.4365600873170,1.00080000000000
-10.4274751575066,1.00090000000000
-10.4183996713136,1.00100000000000
-10.4093336049189,1.00110000000000
-10.4002769345979,1.00120000000000
-10.3912296367216,1.00130000000000
-10.3821916877547,1.00140000000000
-10.3731630642579,1.00150000000000
-10.3641437428829,1.00160000000000
-10.3551337003763,1.00170000000000
-10.3461329135767,1.00180000000000
-10.3371413594139,1.00190000000000
-10.3281590149101,1.00200000000000
-10.3191858571787,1.00210000000000
-10.3102218634222,1.00220000000000
-10.3012670109339,1.00230000000000
-10.2923212770974,1.00240000000000
-10.2833846393838,1.00250000000000
-10.2744570753542,1.00260000000000
-10.2655385626561,1.00270000000000
-10.2566290790262,1.00280000000000
-10.2477286022877,1.00290000000000
-10.2388371103493,1.00300000000000
-10.2299545812077,1.00310000000000
-10.2210809929448,1.00320000000000
-10.2122163237267,1.00330000000000
-10.2033605518051,1.00340000000000
-10.1945136555165,1.00350000000000
-10.1856756132796,1.00360000000000
-10.1768464035993,1.00370000000000
-10.1680260050602,1.00380000000000
-10.1592143963317,1.00390000000000
-10.1504115561651,1.00400000000000
-10.1416174633920,1.00410000000000
-10.1328320969269,1.00420000000000
-10.1240554357642,1.00430000000000
-10.1152874589788,1.00440000000000
-10.1065281457257,1.00450000000000
-10.0977774752397,1.00460000000000
-10.0890354268336,1.00470000000000
-10.0803019799001,1.00480000000000
-10.0715771139097,1.00490000000000
-10.0628608084106,1.00500000000000
-10.0541530430296,1.00510000000000
-10.0454537974682,1.00520000000000
-10.0367630515073,1.00530000000000
-10.0280807850023,1.00540000000000
-10.0194069778851,1.00550000000000
-10.0107416101625,1.00560000000000
-10.0020846619173,1.00570000000000
-9.9934361133064,1.00580000000000
-9.9847959445613,1.00590000000000
-9.9761641359872,1.00600000000000
-9.9675406679626,1.00610000000000
-9.9589255209394,1.00620000000000
-9.9503186754431,1.00630000000000
-9.9417201120698,1.00640000000000
-9.9331298114896,1.00650000000000
-9.9245477544429,1.00660000000000
-9.9159739217421,1.00670000000000
-9.9074082942705,1.00680000000000
-9.8988508529812,1.00690000000000
-9.8903015788985,1.00700000000000
-9.8817604531168,1.00710000000000
-9.8732274567987,1.00720000000000
-9.8647025711767,1.00730000000000
-9.8561857775527,1.00740000000000
-9.8476770572961,1.00750000000000
-9.8391763918442,1.00760000000000
-9.8306837627037,1.00770000000000
-9.8221991514471,1.00780000000000
-9.8137225397147,1.00790000000000
-9.8052539092137,1.00800000000000
-9.7967932417169,1.00810000000000
