L,nm
-15.4879983909628,1.000199999999999977973175191436894237995147705078125
-15.4749138441790,1.00030000000000
-15.4618426020864,1.00040000000000
-15.4487846304642,1.00050000000000
-15.4357398952323,1.00060000000000
-15.4227083624475,1.00070000000000
-15.4096899983038,1.00080000000000
-15.3966847691322,1.00090000000000
-15.3836926414016,1.00100000000000
-15.3707135817131,1.00110000000000
-15.3577475568046,1.00120000000000
-15.3447945335458,1.00130000000000
-15.3318544789416,1.00140000000000
-15.3189273601267,1.00150000000000
-15.3060131443695,1.00160000000000
-15.2931117990671,1.00170000000000
-15.2802232917481,1.00180000000000
-15.2673475900708,1.00190000000000
-15.2544846618206,1.00200000000000
-15.2416344749121,1.00210000000000
-15.2287969973865,1.00220000000000
-15.2159721974112,1.00230000000000
-15.2031600432811,1.00240000000000
-15.1903605034146,1.00250000000000
-15.1775735463553,1.00260000000000
-15.1647991407697,1.00270000000000
-15.1520372554486,1.00280000000000
-15.1392878593048,1.00290000000000
-15.1265509213729,1.00300000000000
-15.1138264108088,1.00310000000000
-15.1011142968883,1.00320000000000
-15.0884145490084,1.00330000000000
-15.0757271366835,1.00340000000000
-15.0630520295477,1.00350000000000
-15.0503891973531,1.00360000000000
-15.0377386099686,1.00370000000000
-15.0251002373796,1.00380000000000
-15.0124740496886,1.00390000000000
-14.9998600171121,1.00400000000000
-14.9872581099828,1.00410000000000
-14.9746682987461,1.00420000000000
-14.9620905539629,1.00430000000000
-14.9495248463057,1.00440000000000
-14.9369711465590,1.00450000000000
-14.9244294256208,1.00460000000000
-14.9118996544990,1.00470000000000
-14.8993818043122,1.00480000000000
-14.8868758462897,1.00490000000000
-14.8743817517698,1.00500000000000
-14.8618994922005,1.00510000000000
-14.8494290391359,1.00520000000000
-14.8369703642410,1.00530000000000
-14.8245234392860,1.00540000000000
-14.8120882361474,1.00550000000000
-14.7996647268093,1.00560000000000
-14.7872528833604,1.00570000000000
-14.7748526779944,1.00580000000000
-14.7624640830102,1.00590000000000
-14.7500870708086,1.00600000000000
-14.7377216138967,1.00610000000000
-14.7253676848829,1.00620000000000
-14.7130252564768,1.00630000000000
-14.7006943014915,1.00640000000000
-14.6883747928414,1.00650000000000
-14.6760667035396,1.00660000000000
-14.6637700067020,1.00670000000000
-14.6514846755425,1.00680000000000
-14.6392106833748,1.00690000000000
-14.6269480036110,1.00700000000000
-14.6146966097623,1.00710000000000
-14.6024564754363,1.00720000000000
-14.5902275743384,1.00730000000000
-14.5780098802708,1.00740000000000
-14.5658033671318,1.00750000000000
-14.5536080089152,1.00760000000000
-14.5414237797110,1.00770000000000
-14.5292506537019,1.00780000000000
-14.5170886051682,1.00790000000000
-14.5049376084798,1.00800000000000
-14.4927976381036,1.00810000000000
-14.4806686685973,1.00820000000000
-14.4685506746120,1.00830000000000
-14.4564436308906,1.00840000000000
-14.4443475122660,1.00850000000000
-14.4322622936650,1.00860000000000
-14.4201879501022,1.00870000000000
-14.4081244566836,1.00880000000000
-14.3960717886054,1.00890000000000
-14.3840299211521,1.00900000000000
-14.3719988296971,1.00910000000000
-14.3599784897029,1.00920000000000
-14.3479688767178,1.00930000000000
-14.3359699663806,1.00940000000000
-14.3239817344152,1.00950000000000
-14.3120041566326,1.00960000000000
-14.3000372089307,1.00970000000000
-14.2880808672911,1.00980000000000
-14.2761351077823,1.00990000000000
-14.2641999065586,1.01000000000000
-14.2522752398565,1.01010000000000
-14.2403610839988,1.01020000000000
-14.2284574153905,1.01030000000000
-14.2165642105206,1.01040000000000
-14.2046814459615,1.01050000000000
-14.1928090983664,1.01060000000000
-14.1809471444722,1.01070000000000
-14.1690955610960,1.01080000000000
-14.1572543251380,1.01090000000000
-14.1454234135781,1.01100000000000
-14.1336028034773,1.01110000000000
-14.1217924719755,1.01120000000000
-14.1099923962941,1.01130000000000
-14.0982025537319,1.01140000000000
-14.0864229216691,1.01150000000000
-14.0746534775622,1.01160000000000
-14.0628941989473,1.01170000000000
-14.0511450634372,1.01180000000000
-14.0394060487236,1.01190000000000
-14.0276771325747,1.01200000000000
-14.0159582928344,1.01210000000000
-14.0042495074247,1.01220000000000
-13.9925507543422,1.01230000000000
-13.9808620116604,1.01240000000000
-13.9691832575266,1.01250000000000
-13.9575144701643,1.01260000000000
-13.9458556278713,1.01270000000000
-13.9342067090192,1.01280000000000
-13.9225676920535,1.01290000000000
-13.9109385554938,1.01300000000000
-13.8993192779327,1.01310000000000
-13.8877098380352,1.01320000000000
-13.8761102145392,1.01330000000000
-13.8645203862545,1.01340000000000
-13.8529403320630,1.01350000000000
-13.8413700309185,1.01360000000000
-13.8298094618444,1.01370000000000
-13.8182586039363,1.01380000000000
-13.8067174363609,1.01390000000000
-13.7951859383529,1.01400000000000
-13.7836640892185,1.01410000000000
-13.7721518683336,1.01420000000000
-13.7606492551415,1.01430000000000
-13.7491562291565,1.01440000000000
-13.7376727699600,1.01450000000000
-13.7261988572026,1.01460000000000
-13.7147344706021,1.01470000000000
-13.7032795899445,1.01480000000000
-13.6918341950824,1.01490000000000
-13.6803982659364,1.01500000000000
-13.6689717824929,1.01510000000000
-13.6575547248050,1.01520000000000
-13.6461470729915,1.01530000000000
-13.6347488072382,1.01540000000000
-13.6233599077954,1.01550000000000
-13.6119803549789,1.01560000000000
-13.6006101291684,1.01570000000000
-13.5892492108098,1.01580000000000
-13.5778975804122,1.01590000000000
