L,nm
-14.6928592981566,1
-14.6799429335260,1.00010000000000
-14.6670402930616,1.00020000000000
-14.6541513417594,1.00030000000000
-14.6412760447580,1.00040000000000
-14.6284143673372,1.00050000000000
-14.6155662749176,1.00060000000000
-14.6027317330598,1.00070000000000
-14.5899107074622,1.00080000000000
-14.5771031639632,1.00090000000000
-14.5643090685378,1.00100000000000
-14.5515283872978,1.00110000000000
-14.5387610864914,1.00120000000000
-14.5260071325016,1.00130000000000
-14.5132664918460,1.00140000000000
-14.5005391311760,1.00150000000000
-14.4878250172760,1.00160000000000
-14.4751241170628,1.00170000000000
-14.4624363975844,1.00180000000000
-14.4497618260204,1.00190000000000
-14.4371003696794,1.00200000000000
-14.4244519960002,1.00210000000000
-14.4118166725504,1.00220000000000
-14.3991943670250,1.00230000000000
-14.3865850472468,1.00240000000000
-14.3739886811648,1.00250000000000
-14.3614052368544,1.00260000000000
-14.3488346825162,1.00270000000000
-14.3362769864746,1.00280000000000
-14.3237321171786,1.00290000000000
-14.3112000432008,1.00300000000000
-14.2986807332350,1.00310000000000
-14.2861741560982,1.00320000000000
-14.2736802807282,1.00330000000000
-14.2611990761838,1.00340000000000
-14.2487305116424,1.00350000000000
-14.2362745564022,1.00360000000000
-14.2238311798798,1.00370000000000
-14.2114003516086,1.00380000000000
-14.1989820412412,1.00390000000000
-14.1865762185462,1.00400000000000
-14.1741828534080,1.00410000000000
-14.1618019158268,1.00420000000000
-14.1494333759178,1.00430000000000
-14.1370772039114,1.00440000000000
-14.1247333701494,1.00450000000000
-14.1124018450898,1.00460000000000
-14.1000825993004,1.00470000000000
-14.0877756034628,1.00480000000000
-14.0754808283690,1.00490000000000
-14.0631982449220,1.00500000000000
-14.0509278241354,1.00510000000000
-14.0386695371314,1.00520000000000
-14.0264233551424,1.00530000000000
-14.0141892495092,1.00540000000000
-14.0019671916794,1.00550000000000
-13.9897571532090,1.00560000000000
-13.9775591057610,1.00570000000000
-13.9653730211026,1.00580000000000
-13.9531988711102,1.00590000000000
-13.9410366277620,1.00600000000000
-13.9288862631426,1.00610000000000
-13.9167477494410,1.00620000000000
-13.9046210589480,1.00630000000000
-13.8925061640588,1.00640000000000
-13.8804030372710,1.00650000000000
-13.8683116511840,1.00660000000000
-13.8562319784978,1.00670000000000
-13.8441639920144,1.00680000000000
-13.8321076646362,1.00690000000000
-13.8200629693644,1.00700000000000
-13.8080298793010,1.00710000000000
-13.7960083676462,1.00720000000000
-13.7839984076978,1.00730000000000
-13.7719999728534,1.00740000000000
-13.7600130366058,1.00750000000000
-13.7480375725462,1.00760000000000
-13.7360735543622,1.00770000000000
-13.7241209558360,1.00780000000000
-13.7121797508468,1.00790000000000
-13.7002499133682,1.00800000000000
-13.6883314174672,1.00810000000000
-13.6764242373072,1.00820000000000
-13.6645283471424,1.00830000000000
-13.6526437213224,1.00840000000000
-13.6407703342878,1.00850000000000
-13.6289081605724,1.00860000000000
-13.6170571748012,1.00870000000000
-13.6052173516900,1.00880000000000
-13.5933886660468,1.00890000000000
-13.5815710927686,1.00900000000000
-13.5697646068426,1.00910000000000
-13.5579691833462,1.00920000000000
-13.5461847974442,1.00930000000000
-13.5344114243918,1.00940000000000
-13.5226490395310,1.00950000000000
-13.5108976182922,1.00960000000000
-13.4991571361932,1.00970000000000
-13.4874275688378,1.00980000000000
