L,nm
-10.1838752480088,1.00000000000000
-10.1750303845323,1.00010000000000
-10.1661947891061,1.00020000000000
-10.1573684380538,1.00030000000000
-10.1485513077952,1.00040000000000
-10.1397433748457,1.00050000000000
-10.1309446158153,1.00060000000000
-10.1221550074094,1.00070000000000
-10.1133745264267,1.00080000000000
-10.1046031497601,1.00090000000000
-10.0958408543955,1.00100000000000
-10.0870876174107,1.00110000000000
-10.0783434159758,1.00120000000000
-10.0696082273535,1.00130000000000
-10.0608820288952,1.00140000000000
-10.0521647980449,1.00150000000000
-10.0434565123356,1.00160000000000
-10.0347571493901,1.00170000000000
-10.0260666869197,1.00180000000000
-10.0173851027254,1.00190000000000
-10.0087123746943,1.00200000000000
-10.0000484808032,1.00210000000000
-9.9913933991147,1.00220000000000
-9.9827471077778,1.00230000000000
-9.9741095850287,1.00240000000000
-9.9654808091885,1.00250000000000
-9.9568607586632,1.00260000000000
-9.9482494119443,1.00270000000000
-9.9396467476074,1.00280000000000
-9.9310527443116,1.00290000000000
-9.9224673807998,1.00300000000000
-9.9138906358967,1.00310000000000
-9.9053224885111,1.00320000000000
-9.8967629176328,1.00330000000000
-9.8882119023336,1.00340000000000
-9.8796694217662,1.00350000000000
-9.8711354551638,1.00360000000000
-9.8626099818406,1.00370000000000
-9.8540929811903,1.00380000000000
-9.8455844326855,1.00390000000000
-9.8370843158783,1.00400000000000
-9.8285926104000,1.00410000000000
-9.8201092959588,1.00420000000000
-9.8116343523419,1.00430000000000
-9.8031677594130,1.00440000000000
-9.7947094971129,1.00450000000000
-9.7862595454594,1.00460000000000
-9.7778178845453,1.00470000000000
-9.7693844945410,1.00480000000000
-9.7609593556905,1.00490000000000
-9.7525424483133,1.00500000000000
-9.7441337528038,1.00510000000000
-9.7357332496306,1.00520000000000
-9.7273409193353,1.00530000000000
-9.7189567425339,1.00540000000000
-9.7105806999147,1.00550000000000
-9.7022127722384,1.00560000000000
-9.6938529403387,1.00570000000000
-9.6855011851210,1.00580000000000
-9.6771574875622,1.00590000000000
-9.6688218287094,1.00600000000000
-9.6604941896820,1.00610000000000
-9.6521745516691,1.00620000000000
-9.6438628959297,1.00630000000000
-9.6355592037922,1.00640000000000
-9.6272634566556,1.00650000000000
-9.6189756359864,1.00660000000000
-9.6106957233206,1.00670000000000
-9.6024237002624,1.00680000000000
-9.5941595484830,1.00690000000000
-9.5859032497226,1.00700000000000
-9.5776547857882,1.00710000000000
-9.5694141385529,1.00720000000000
-9.5611812899569,1.00730000000000
-9.5529562220068,1.00740000000000
-9.5447389167749,1.00750000000000
-9.5365293563991,1.00760000000000
-9.5283275230826,1.00770000000000
-9.5201333990929,1.00780000000000
-9.5119469667634,1.00790000000000
-9.5037682084898,1.00800000000000
-9.4955971067337,1.00810000000000
-9.4874336440191,1.00820000000000
-9.4792778029337,1.00830000000000
-9.4711295661276,1.00840000000000
-9.4629889163148,1.00850000000000
-9.4548558362698,1.00860000000000
-9.4467303088310,1.00870000000000
-9.4386123168974,1.00880000000000
-9.4305018434305,1.00890000000000
-9.4223988714510,1.00900000000000
-9.4143033840417,1.00910000000000
-9.4062153643462,1.00920000000000
-9.3981347955679,1.00930000000000
-9.3900616609695,1.00940000000000
-9.3819959438749,1.00950000000000
-9.3739376276655,1.00960000000000
-9.3658866957829,1.00970000000000
-9.3578431317272,1.00980000000000
-9.3498069190568,1.00990000000000
-9.3417780413881,1.01000000000000
-9.3337564823961,1.01010000000000
-9.3257422258131,1.01020000000000
-9.3177352554277,1.01030000000000
-9.3097355550874,1.01040000000000
-9.3017431086953,1.01050000000000
-9.2937579002108,1.01060000000000
-9.2857799136505,1.01070000000000
-9.2778091330864,1.01080000000000
-9.2698455426458,1.01090000000000
-9.2618891265120,1.01100000000000
-9.2539398689236,1.01110000000000
-9.2459977541736,1.01120000000000
-9.2380627666096,1.01130000000000
-9.2301348906337,1.01140000000000
-9.2222141107022,1.01150000000000
-9.2143004113258,1.01160000000000
-9.2063937770674,1.01170000000000
-9.1984941925441,1.01180000000000
-9.1906016424264,1.01190000000000
-9.1827161114371,1.01200000000000
-9.1748375843509,1.01210000000000
-9.1669660459968,1.01220000000000
-9.1591014812541,1.01230000000000
-9.1512438750549,1.01240000000000
-9.1433932123820,1.01250000000000
-9.1355494782703,1.01260000000000
-9.1277126578056,1.01270000000000
-9.1198827361239,1.01280000000000
-9.1120596984135,1.01290000000000
-9.1042435299113,1.01300000000000
-9.0964342159052,1.01310000000000
-9.0886317417328,1.01320000000000
-9.0808360927812,1.01330000000000
-9.0730472544880,1.01340000000000
-9.0652652123386,1.01350000000000
-9.0574899518682,1.01360000000000
-9.0497214586606,1.01370000000000
-9.0419597183478,1.01380000000000
-9.0342047166109,1.01390000000000
-9.0264564391781,1.01400000000000
-9.0187148718262,1.01410000000000
-9.0109800003794,1.01420000000000
-9.0032518107094,1.01430000000000
-8.9955302887349,1.01440000000000
-8.9878154204217,1.01450000000000
-8.9801071917824,1.01460000000000
-8.9724055888763,1.01470000000000
-8.9647105978084,1.01480000000000
-8.9570222047306,1.01490000000000
-8.9493403958409,1.01500000000000
-8.9416651573817,1.01510000000000
-8.9339964756424,1.01520000000000
-8.9263343369563,1.01530000000000
-8.9186787277035,1.01540000000000
-8.9110296343069,1.01550000000000
-8.9033870432361,1.01560000000000
-8.8957509410044,1.01570000000000
-8.8881213141679,1.01580000000000
-8.8804981493294,1.01590000000000
-8.8728814331334,1.01600000000000
-8.8652711522695,1.01610000000000
-8.8576672934703,1.01620000000000
-8.8500698435113,1.01630000000000
-8.8424787892116,1.01640000000000
-8.8348941174328,1.01650000000000
-8.8273158150795,1.01660000000000
-8.8197438690990,1.01670000000000
-8.8121782664802,1.01680000000000
-8.8046189942550,1.01690000000000
-8.7970660394967,1.01700000000000
-8.7895193893205,1.01710000000000
-8.7819790308831,1.01720000000000
-8.7744449513824,1.01730000000000
-8.7669171380582,1.01740000000000
-8.7593955781907,1.01750000000000
-8.7518802591013,1.01760000000000
-8.7443711681519,1.01770000000000
-8.7368682927446,1.01780000000000
-8.7293716203219,1.01790000000000
-8.7218811383674,1.01800000000000
-8.7143968344032,1.01810000000000
-8.7069186959917,1.01820000000000
-8.6994467107355,1.01830000000000
-8.6919808662763,1.01840000000000
-8.6845211502940,1.01850000000000
-8.6770675505091,1.01860000000000
-8.6696200546808,1.01870000000000
-8.6621786506058,1.01880000000000
-8.6547433261205,1.01890000000000
-8.6473140690999,1.01900000000000
-8.6398908674558,1.01910000000000
-8.6324737091398,1.01920000000000
-8.6250625821401,1.01930000000000
-8.6176574744837,1.01940000000000
-8.6102583742340,1.01950000000000
-8.6028652694932,1.01960000000000
-8.5954781483991,1.01970000000000
-8.5880969991284,1.01980000000000
-8.5807218098932,1.01990000000000
-8.5733525689434,1.02000000000000
-8.5659892645649,1.02010000000000
-8.5586318850806,1.02020000000000
-8.5512804188488,1.02030000000000
-8.5439348542649,1.02040000000000
-8.5365951797602,1.02050000000000
-8.5292613838009,1.02060000000000
-8.5219334548902,1.02070000000000
-8.5146113815661,1.02080000000000
-8.5072951524018,1.02090000000000
-8.4999847560059,1.02100000000000
-8.4926801810229,1.02110000000000
-8.4853814161303,1.02120000000000
-8.4780884500431,1.02130000000000
-8.4708012715085,1.02140000000000
-8.4635198693093,1.02150000000000
-8.4562442322627,1.02160000000000
-8.4489743492199,1.02170000000000
-8.4417102090658,1.02180000000000
-8.4344518007197,1.02190000000000
-8.4271991131354,1.02200000000000
-8.4199521352982,1.02210000000000
-8.4127108562289,1.02220000000000
-8.4054752649810,1.02230000000000
-8.3982453506402,1.02240000000000
-8.3910211023274,1.02250000000000
-8.3838025091947,1.02260000000000
-8.3765895604277,1.02270000000000
-8.3693822452446,1.02280000000000
-8.3621805528956,1.02290000000000
-8.3549844726638,1.02300000000000
-8.3477939938647,1.02310000000000
-8.3406091058458,1.02320000000000
-8.3334297979863,1.02330000000000
-8.3262560596973,1.02340000000000
-8.3190878804221,1.02350000000000
-8.3119252496350,1.02360000000000
-8.3047681568418,1.02370000000000
-8.2976165915804,1.02380000000000
-8.2904705434192,1.02390000000000
-8.2833300019574,1.02400000000000
-8.2761949568266,1.02410000000000
-8.2690653976872,1.02420000000000
-8.2619413142316,1.02430000000000
-8.2548226961829,1.02440000000000
-8.2477095332934,1.02450000000000
-8.2406018153472,1.02460000000000
-8.2334995321583,1.02470000000000
-8.2264026735697,1.02480000000000
-8.2193112294553,1.02490000000000
-8.2122251897185,1.02500000000000
-8.2051445442929,1.02510000000000
-8.1980692831412,1.02520000000000
-8.1909993962555,1.02530000000000
-8.1839348736580,1.02540000000000
-8.1768757053985,1.02550000000000
-8.1698218815581,1.02560000000000
-8.1627733922450,1.02570000000000
-8.1557302275980,1.02580000000000
-8.1486923777829,1.02590000000000
-8.1416598329950,1.02600000000000
-8.1346325834588,1.02610000000000
-8.1276106194262,1.02620000000000
-8.1205939311779,1.02630000000000
-8.1135825090219,1.02640000000000
-8.1065763432961,1.02650000000000
-8.0995754243649,1.02660000000000
-8.0925797426208,1.02670000000000
-8.0855892884844,1.02680000000000
-8.0786040524039,1.02690000000000
-8.0716240248546,1.02700000000000
-8.0646491963395,1.02710000000000
-8.0576795573889,1.02720000000000
-8.0507150985606,1.02730000000000
-8.0437558104393,1.02740000000000
-8.0368016836360,1.02750000000000
-8.0298527087896,1.02760000000000
-8.0229088765653,1.02770000000000
-8.0159701776551,1.02780000000000
-8.0090366027771,1.02790000000000
-8.0021081426775,1.02800000000000
-7.9951847881257,1.02810000000000
-7.9882665299204,1.02820000000000
-7.9813533588850,1.02830000000000
-7.9744452658695,1.02840000000000
-7.9675422417497,1.02850000000000
-7.9606442774269,1.02860000000000
-7.9537513638283,1.02870000000000
-7.9468634919073,1.02880000000000
-7.9399806526419,1.02890000000000
-7.9331028370360,1.02900000000000
-7.9262300361194,1.02910000000000
-7.9193622409462,1.02920000000000
-7.9124994425962,1.02930000000000
-7.9056416321742,1.02940000000000
-7.8987888008098,1.02950000000000
-7.8919409396572,1.02960000000000
-7.8850980398965,1.02970000000000
-7.8782600927311,1.02980000000000
-7.8714270893897,1.02990000000000
-7.8645990211256,1.03000000000000
-7.8577758792155,1.03010000000000
-7.8509576549621,1.03020000000000
-7.8441443396903,1.03030000000000
-7.8373359247510,1.03040000000000
-7.8305324015178,1.03050000000000
-7.8237337613888,1.03060000000000
-7.8169399957852,1.03070000000000
-7.8101510961532,1.03080000000000
-7.8033670539622,1.03090000000000
-7.7965878607042,1.03100000000000
-7.7898135078961,1.03110000000000
-7.7830439870769,1.03120000000000
-7.7762792898093,1.03130000000000
-7.7695194076802,1.03140000000000
-7.7627643322983,1.03150000000000
-7.7560140552962,1.03160000000000
-7.7492685683285,1.03170000000000
-7.7425278630736,1.03180000000000
-7.7357919312322,1.03190000000000
-7.7290607645280,1.03200000000000
-7.7223343547068,1.03210000000000
-7.7156126935373,1.03220000000000
-7.7088957728103,1.03230000000000
-7.7021835843397,1.03240000000000
-7.6954761199608,1.03250000000000
-7.6887733715314,1.03260000000000
-7.6820753309311,1.03270000000000
-7.6753819900626,1.03280000000000
-7.6686933408492,1.03290000000000
-7.6620093752367,1.03300000000000
-7.6553300851922,1.03310000000000
-7.6486554627055,1.03320000000000
-7.6419854997870,1.03330000000000
-7.6353201884695,1.03340000000000
-7.6286595208060,1.03350000000000
-7.6220034888715,1.03360000000000
-7.6153520847632,1.03370000000000
-7.6087053005984,1.03380000000000
-7.6020631285152,1.03390000000000
-7.5954255606744,1.03400000000000
-7.5887925892561,1.03410000000000
-7.5821642064620,1.03420000000000
-7.5755404045148,1.03430000000000
